ENA.genome.ID_scholz;Genomes.list;Genome.ID;Genome.Name;NCBI.Taxon.ID;Genome.Status;Strain;Host.Name;R_Phenotype;Phenotype;Completion.Date;BioProject.Accession;BioSample.Accession;Assembly.Accession;GenBank.Accessions;Sequencing.Centers;Contigs;Genome.Length;GC.Content;PATRIC.CDS;Comments;Additional.Metadata;Coarse.Consistency;Fine.Consistency;Genome.Quality.Flags;Genome.Quality;Date.Inserted;Date.Modified;Host.species_scholz;Common.name_scholz;Supergroup_scholz
GCA_000376585;GCA_000376585.1_ASM37658v1_genomic;1236908,3;Wolbachia endosymbiont of Drosophila simulans wNo;1236908;Complete;wNo;;CI;R;2013-04-22T00:00:00Z;PRJNA176302;SAMN02604272;GCA_000376585.1;CP003883.1;Uppsala University;1;1301823;34;1303;Whole genome sequencing of Wolbachia strain wNo that belongs to Wolbachia supergroup B and naturally infects Drosophila simulans.;;99,1;99;;Good;2014-12-08T22:13:49.228Z;2015-03-16T03:17:09.594Z;;;
GCA_000376605;GCA_000376605.1_ASM37660v1_genomic;1236909,3;Wolbachia endosymbiont of Drosophila simulans wHa;1236909;Complete;wHa;;CI;R;2013-04-22T00:00:00Z;PRJNA176303;SAMN02604273;GCA_000376605.1;CP003884.1;Uppsala University;1;1295804;35,1;1403;Whole genome sequence of Wolbachia strain wHa that belongs to Wolbachia supergroup A and infects Drosophila simulans.;;99,3;99,2;;Good;2014-12-08T22:13:49.219Z;2015-03-16T03:17:09.594Z;;;
GCA_000475015;GCA_000475015.1_wMelPop_genomic;1317678,3;Wolbachia pipientis wMelPop;1317678;WGS;wMelPop;Fruit fly, Drosophila melanogaster;CI;R;2013-10-17T00:00:00Z;PRJNA196671;SAMN02296948;GCA_000475015.1;AQQE00000000;Monash University;80;1201350;35,1;1310;The endosymbiotic bacterium Wolbachia pipientis typically has only mildly beneficial or mildy deleterious effects on its hosts. The strain wMelPop, however, over-replicates in its host, leading to pathogenesis and early host death. We have sequenced the genome of wMelPop and compared it to the genome of the closely related, non-pathogenic strain wMel.;;99,6;99,6;;Good;2014-12-08T22:13:49.331Z;2015-03-16T03:17:09.594Z;;;
GCA_000689175;GCA_000689175.1_wGmm_version4_genomic;1150948,4;Wolbachia endosymbiont of Glossina morsitans morsitans;1150948;WGS;;Tsetse fly, Glossina morsitans morsitans;CI;R;2014-05-09T00:00:00Z;PRJNA218057;SAMN02768711;GCA_000689175.1;AWUH00000000;University of Patras;201;1019510;35,2;1197;The draft genome of the Wolbachia strain present in Glossina morsitans morsitans is presented. It is most similar with the two Wolbachia strains associated with Drosophila melanogaster and D. simulans.;;97,7;93,9;;Good;2014-12-08T22:31:38.982Z;2015-03-16T03:17:09.594Z;;;
GCA_000723225;GCA_000723225.2_Wolbachia_endosymbiont_wPip_Mol_of_Culex_molestus_genomic;;;;;wPip;Culex molestus;CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_000742435;GCA_000742435.1_ASM74243v1_genomic;955,1;Wolbachia pipientis strain wRec;955;WGS;;Fruit fly, Drosophila recens;CI;R;2014-08-20T00:00:00Z;PRJNA254527;SAMN02904630;GCA_000742435.1;JQAM00000000;Vanderbilt University;43;1126656;35,2;1227;wRec, a Wolbachia pipientis strain inhabiting the mushroom-feeding fly Drosophila recens, was sequenced along with some of its insect host DNA. wRec is a multipotent strain of Wolbachia that can cause multiple phenotypes of reproductive manipulation depending on its host (cytoplasmic incompatibility or male killing). PCR screens have previously indicated that wRec lacks prophage WO, a dsDNA virus that is nearly universal in arthropod Wolbachia, and which has been hypothesized to be involved these reproductive manipulations. Since cytoplasmic incompatibility is being used as a driver of Wolbachia infection in wild mosquito populations, blocking vector competence for diseases such as dengue and malaria, its mechanisms of action are of particular interest. We sequenced this Wolbachia strain to investigate the missing phage anomaly and to seek clues for the causative factors of Wolbachia-induced reproductive manipulations.;;99,6;99,2;;Good;2014-12-08T23:21:15.145Z;2015-03-16T03:17:09.594Z;;;
GCA_000953315;GCA_000953315.1_Wau001_genomic;953,47;Wolbachia strain wAu;953;Complete;wAu;;CI;R;2015-03-04T00:00:00Z;PRJEB6321;SAMEA2555295;GCA_000953315.1;LK055284;SC;1;1268461;35,22;1390;Wolbachia intracellular bacteria manipulate the reproduction of their arthropod hosts, including inducing sterility between populations known as cytoplasmic incompatibility. Certain strains have been identified that are unable to induce or rescue CI, including wAu from Drosophila. Genome sequencing and comparison with CI-inducing related strain wMel was undertaken in order to better understand the molecular basis of the phenotype.;;99,7;99,7;;Good;2016-01-17T15:49:01.280Z;2016-01-17T15:49:01.280Z;;;
GCA_001637495;GCA_001637495.1_ASM163749v1_genomic;368602,4;Wolbachia endosymbiont of Laodelphax striatella strain wStri;368602;WGS;wStri;Small brown planthopper, Laodelphax striatella;CI;R;2016-05-05T00:00:00Z;PRJNA310358;SAMN04450243;GCF_001637495.1;LRUH00000000;Korea University;99;1232346;33,86;1249;The genome sequencing of wolbachia endosymbiont of small brown planthopper, Laodelphax striatella;;99,4;99,1;;Good;2016-05-23T20:12:53.317Z;2016-05-23T20:12:53.317Z;;;
GCA_001983615;GCA_001983615.1_ASM198361v1_genomic;1379786,4;Wolbachia pipientis wVitA strain wVitA;1379786;WGS;wVitA;Jewel wasp, Nasonia vitripennis;CI;R;2017-02-02T00:00:00Z;PRJNA213627;SAMN02263904;GCF_001983615.1;MUJM00000000;Indiana University;142;1211929;34,9;1418;Sequencing of the genome of Wolbachia pipientis, an intracellular bacterium that infects Nasonia vitripennis and causes cytoplasmic incompatibility.;collected_by:Rochester University, NY;99,6;99,5;;Good;2017-03-20T07:14:45.812Z;2017-03-20T07:14:45.812Z;;;
GCA_002300525;GCA_002300525.1_ASM230052v1_genomic;2033655,3;Wolbachia endosymbiont of Drosophila subpulchrella;2033655;WGS;wSpc;Drosophila subpulchrella;CI;R;2017-09-13T00:00:00Z;PRJNA401169;SAMN07599555;GCA_002300525.1;NTHL00000000;University of California, Davis;106;1420341;35,66;1637;Wolbachia endosymbiont of Drosophila subpulchrella overview;sample_type:whole organism;99,8;99,7;;Good;2017-09-28T23:09:36.409Z;2017-09-28T23:09:36.409Z;;;
GCA_002318985;GCA_002318985.1_ASM231898v1_genomic;955,27;Wolbachia pipientis strain wAus;955;WGS;wAus;Plutella australiana;CI;R;2017-09-20T00:00:00Z;PRJNA357180;SAMN06134623;GCA_002318985.1;MRWX00000000;University of Adelaide;95;1158805;34,01;1185;Wolbachia endosymiont of Plutella Australiana;sample_type:whole organism;99,2;99;;Good;2017-09-29T01:51:54.097Z;2017-09-29T01:51:54.097Z;;;
GCA_002374845;GCA_002374845.2_ASM237484v2_genomic;;;;;HN2016;"	Aedes albopictus";CI;R;;"	PRJNA407640";;;;;;;;;;;;;;;;;;;
GCA_002379145;GCA_002379145.2_ASM237914v2_genomic;;;;;FL2016;Aedes albopictus;CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_002379155;GCA_002379155.1_ASM237915v1_genomic;;;;;FL2016;"	Aedes albopictus";CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_002379155;GCA_002379155.2_ASM237915v2_genomic;;;;;FL2016;"	Aedes albopictus";CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_002379175;GCA_002379175.1_ASM237917v1_genomic;;;;;HN2016;Aedes albopictus;CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_002379175;GCA_002379175.2_ASM237917v2_genomic;;;;;HN2016;Aedes albopictus;CI;R;;;;;;;;;;;;;;;;;;;;;
GCA_002907405;GCA_002907405.1_ASM290740v1_genomic;66084,16;Wolbachia sp. wRi;66084;WGS;wRi;Drosophila ananassae;CI;R;2018-01-30T00:00:00Z;PRJNA344708;SAMN05831929;GCA_002907405.1;MKIF01000000;Jaypee Institute of Information Technology;202;1117694;35,039196;1165;Wolbachia strain wRi: Genome sequencing and assembly;"sample_type:WHOLE ORGANISM;biomaterial_provider:A- 10, Sector-62;collected_by:Sujata mohanty";98,8;98,7;;Good;2018-05-25T20:59:30.412Z;2018-05-25T20:59:30.412Z;;;
GCA_002907425;GCA_002907425.1_ASM290742v1_genomic;1932745,3;Wolbachia sp. wRi_2;1932745;WGS;wRi_2;Drosophila ananassae;CI;R;2018-01-30T00:00:00Z;PRJNA344708;SAMN05862085;GCA_002907425.1;MSYL01000000;Jaypee Institute of Information Technology;323;1065435;35,028698;1234;"Wolbachia strain wRi: Genome sequencing and assembly;low contig N50";"sample_type:WHOLE ORGANISM;biomaterial_provider:A- 10, Sector-62";99;97;Low contig N50;Poor;2018-05-25T20:59:40.250Z;2018-05-25T20:59:40.250Z;;;
GCA_002907445;GCA_002907445.1_ASM290744v1_genomic;1912095,3;Wolbachia sp. wMel_AMD;1912095;WGS;wMel_AMD;Fruit fly, Drosophila melanogaster;CI;R;2018-01-30T00:00:00Z;PRJNA349098;SAMN05932998;GCA_002907445.1;MNCG01000000;Jaypee Institute of Information Technology;179;1116783;35,14425;1198;Wolbachia strain wMel_KL: Genome sequencing and assembly;"sample_type:WHOLE ORGANISM;biomaterial_provider:Sujata Mohanty;collected_by:Sujata Mohanty";99;98,7;;Good;2018-05-25T20:59:53.101Z;2018-05-25T20:59:53.101Z;;;
GCA_002907525;GCA_002907525.1_ASM290752v1_genomic;1911515,3;Wolbachia sp. wMel_KL;1911515;WGS;wMel_KL;Fruit fly, Drosophila melanogaster;CI;R;2018-01-30T00:00:00Z;PRJNA349098;SAMN05920297;GCA_002907525.1;MLZJ01000000;Jaypee Institute of Information Technology;179;1107386;35,146915;1192;Wolbachia strain wMel_KL: Genome sequencing and assembly;"sample_type:WHOLE ORGANISM;biomaterial_provider:A- 10, Sector-62;collected_by:Sujata Mohanty";99;98,7;;Good;2018-05-25T21:00:41.936Z;2018-05-25T21:00:41.936Z;;;
GCA_003344345;GCA_003344345.1_ASM334434v1_genomic;118728,3;Wolbachia endosymbiont of Cylisticus convexus strain Wcon;118728;WGS;Wcon;Cylisticus convexus;CI;R;2018-07-27T00:00:00Z;PRJNA439208;SAMN08742162;GCA_003344345.1;QPIP01000000;Universite de Poitiers ecologie et Biologie des Interactions, UMR CNRS 7267;237;2109518;34,694386;2876;Sequencing of Wolbachia endosymbiont strain wCon of Cylisticus convexus, a closely related strain for the feminizing Wolbachia endosymbiont strain wVulC of Armadillidium vulgare in order to identify candidate genes of feminization in wVulC. Wolbachia Cylisticus convexus does not induce feminization.;"sample_type:whole organism;collected_by:UMR CNRS 7267";99,3;95;;Good;2018-09-30T01:14:38.330Z;2018-09-30T01:14:38.330Z;;;
GCA_003671365;GCA_003671365.1_ASM367136v1_genomic;307502,9;Wolbachia endosymbiont of Drosophila ananassae strain wAna_India;307502;WGS;wAna_India;Drosophila ananassae 14024-0371.31;CI;R;2018-10-22T00:00:00Z;PRJNA393867;SAMN07352411;GCA_003671365.1;NSDR01000000;University of Maryland Baltimore;121;1236914;35,142136;1352;The Wolbachia endosymbiont from three geographically distinct strains of Drosophila ananassae were sequenced. Since the Hawaii strain of D. ananassae is known to have a Wolbachia lateral gene transfer (Hotopp, J. D. et al., 2007), the Wolbachia cells were transfected and cultured in Sua5B cells. The India and Indonesia strains of D. ananassae are not thought to have a Wolbachia lateral gene transfer.;sample_type:whole organism;99,7;99,6;;Good;2018-11-29T03:16:46.136Z;2018-11-29T03:16:46.136Z;;;
GCA_003671375;GCA_003671375.1_ASM367137v1_genomic;307502,1;Wolbachia endosymbiont of Drosophila ananassae strain wAna_Indonesia;307502;WGS;wAna_Indonesia;Drosophila ananassae 14024-0371.34;CI;R;2018-10-22T00:00:00Z;PRJNA393867;SAMN07352412;GCA_003671375.1;NSDT01000000;University of Maryland Baltimore;122;1223568;35,10692;1338;The Wolbachia endosymbiont from three geographically distinct strains of Drosophila ananassae were sequenced. Since the Hawaii strain of D. ananassae is known to have a Wolbachia lateral gene transfer (Hotopp, J. D. et al., 2007), the Wolbachia cells were transfected and cultured in Sua5B cells. The India and Indonesia strains of D. ananassae are not thought to have a Wolbachia lateral gene transfer.;sample_type:whole organism;99,5;99,3;;Good;2018-11-29T03:17:21.138Z;2018-11-29T03:17:21.138Z;;;
GCA_003671405;GCA_003671405.1_ASM367140v1_genomic;307502,11;Wolbachia endosymbiont of Drosophila ananassae strain wAna_Hawaii;307502;WGS;wAna_Hawaii;Drosophila ananassae 14024-0371.13;CI;R;2018-10-22T00:00:00Z;PRJNA393867;SAMN07352410;GCA_003671405.1;NSDS01000000;University of Maryland Baltimore;129;1216798;35,134754;1336;The Wolbachia endosymbiont from three geographically distinct strains of Drosophila ananassae were sequenced. Since the Hawaii strain of D. ananassae is known to have a Wolbachia lateral gene transfer (Hotopp, J. D. et al., 2007), the Wolbachia cells were transfected and cultured in Sua5B cells. The India and Indonesia strains of D. ananassae are not thought to have a Wolbachia lateral gene transfer.;sample_type:cell culture;99,6;98,6;;Good;2018-11-29T03:17:35.637Z;2018-11-29T03:17:35.637Z;;;
GCA_004171285;GCA_004171285.1_ASM417128v1_genomic;1116230,25;Wolbachia pipientis wAlbB;1116230;Complete;wAlbB;Aedes albopictus;CI;R;2019-02-12T00:00:00Z;PRJNA454708;SAMN09012283;GCA_004171285.1;CP031221;New England Biolabs;1;1484007;34,425377;1500;Wolbachia pipientis wAlbB strain from Aedes albopictus cell line Aa23. Sequenced and assembled at New England Biolabs, 2017-2018.;sample_type:Spent media from Aa23 cell culture;99,4;99;;Good;2019-07-15T20:24:33.146Z;2019-07-15T20:24:33.146Z;;;
GCA_004685025;GCA_004685025.1_ASM468502v1_genomic;109663,5;Wolbachia endosymbiont of Drosophila mauritiana strain wMau;109663;WGS;wMau;Drosophila mauritiana;CI;R;2019-04-07T00:00:00Z;PRJNA530278;SAMN11310382;GCA_004685025.1;SRKC01000000;University of Montana;38;1282764;34,038612;1302;Genome assembly of Wolbachia endosymbiont of Drosophila mauritiana wMau;sample_type:whole organism;99,3;98,9;;Good;2019-07-17T19:35:01.406Z;2019-07-17T19:35:01.406Z;;;
GCA_004795415;GCA_004795415.1_ASM479541v1_genomic;167957,24;Wolbachia endosymbiont of Aedes albopictus strain wAlbB;167957;WGS;wAlbB;Aedes albopictus;CI;R;2019-04-15T00:00:00Z;PRJNA508212;SAMN10519629;GCA_004795415.1;RWIK01000000;New England Biolabs;20;1492731;34,495163;1597;Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly;"sample_type:whole organism;biomaterial_provider:Dobson lab";99,3;98,9;;Good;2019-07-18T00:17:44.473Z;2019-07-18T00:17:44.473Z;;;
GCA_004795955;GCA_004795955.1_ASM479595v1_genomic;109663,6;Wolbachia endosymbiont of Drosophila mauritiana strain wMau;109663;Complete;wMau;Drosophila mauritiana;CI;R;2019-04-16T00:00:00Z;PRJNA508212;SAMN10519763;GCA_004795955.1;CP034334;New England Biolabs;1;1273527;33,996765;1294;Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly;"sample_type:whole organism;biomaterial_provider:Frydman Lab, Boston University";99,3;98,8;;Good;2019-07-17T19:33:55.518Z;2019-07-17T19:33:55.518Z;;;
GCA_004795975;GCA_004795975.1_ASM479597v1_genomic;109663,7;Wolbachia endosymbiont of Drosophila mauritiana strain wMau;109663;Complete;wMau;Drosophila mauritiana;CI;R;2019-04-16T00:00:00Z;PRJNA508212;SAMN10519765;GCA_004795975.1;CP034335;New England Biolabs;1;1273530;33,997;1291;Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly;"sample_type:whole organism;biomaterial_provider:Frydman Lab, Boston University";99,3;98,9;;Good;2019-07-17T19:37:24.025Z;2019-07-17T19:37:24.025Z;;;
GCA_005862095;GCA_005862095.1_ASM586209v1_genomic;260917,3;Wolbachia endosymbiont of Drosophila santomea strain wSan_Quija630.39;260917;WGS;wSan_Quija630.39;Drosophila santomea;CI;R;2019-05-27T00:00:00Z;PRJNA543889;SAMN11791416;GCA_005862095.1;VCEH01000000;University of Montana;300;1183734;35,03591;1272;Assemblies of D. yakuba-clade Wolbachia;sample_type:Whole organism;99,7;99,5;;Good;2019-07-18T05:20:49.625Z;2019-07-18T05:20:49.625Z;;;
GCA_005862115;GCA_005862115.1_ASM586211v1_genomic;260915,3;Wolbachia endosymbiont of Drosophila yakuba strain wYak_CY17C;260915;WGS;wYak_CY17C;Drosophila yakuba;CI;R;2019-05-27T00:00:00Z;PRJNA543889;SAMN11791414;GCA_005862115.1;VCEF01000000;University of Montana;118;1288853;35,168755;1398;Assemblies of D. yakuba-clade Wolbachia;sample_type:Whole organism;99,7;99,4;;Good;2019-07-18T05:20:48.784Z;2019-07-18T05:20:48.784Z;;;
GCA_005862135;GCA_005862135.1_ASM586213v1_genomic;260916,3;Wolbachia endosymbiont of Drosophila teissieri strain wTei_cascade_4_2;260916;WGS;wTei_cascade_4_2;Drosophila teissieri;CI;R;2019-05-27T00:00:00Z;PRJNA543889;SAMN11791415;GCA_005862135.1;VCEG01000000;University of Montana;122;1301330;35,287075;1415;Assemblies of D. yakuba-clade Wolbachia;sample_type:Whole organism;99,8;99,4;;Good;2019-07-18T05:19:03.915Z;2019-07-18T05:19:03.915Z;;;
GCA_007115015;GCA_007115015.1_ASM711501v1_genomic;368602,7;Wolbachia endosymbiont of Laodelphax striatellus strain wstri;368602;WGS;wstri;Laodelphax striatellus;CI;R;2019-07-18T00:00:00Z;PRJNA359400;SAMN06191540;GCA_007115015.1;MUIX01000000;Nanjing Agricultural University;2;1786382;34,34713;1828;The genome sequencing of wolbachia endosymbiont of small brown planthopper, Laodelphax striatella (nanjing population);"sample_type:genomic assembly and sequencing;collected_by:Jia-Fei Ju";99,3;99;;Good;2019-09-30T22:35:30.998Z;2019-09-30T22:35:30.998Z;;;
GCA_007115045;GCA_007115045.1_ASM711504v1_genomic;357143,4;Wolbachia endosymbiont of Nilaparvata lugens strain wLug;357143;WGS;wLug;Nilaparvata lugens;CI;R;2019-07-18T00:00:00Z;PRJNA362279;SAMN06237155;GCA_007115045.1;MUIY01000000;Nanjing Agricultural University;2;1542238;33,982628;1619;the whole genome of wLug;sample_type:insect;98,9;98,2;;Good;2019-09-30T22:35:30.005Z;2019-09-30T22:35:30.005Z;;;
GCA_007971685;GCA_007971685.1_ASM797168v1_genomic;955,33;Wolbachia pipientis strain wMel_N25;955;Complete;wMel_N25;Fruit fly, Drosophila melanogaster;CI;R;2019-08-12T00:00:00Z;PRJNA557362;SAMN12414615;GCA_007971685.1;CP042446;University of Georgia;1;1267781;35,234554;1445;Assemble the genomes of Wolbachia variants infecting Drosophila melanogaster lines from geographically distinct populations.;sample_type:Whole organism;99,9;99,8;;Good;2019-10-01T16:12:18.001Z;2019-10-01T16:12:18.001Z;;;
GCA_007972595;GCA_007972595.1_ASM797259v1_genomic;955,34;Wolbachia pipientis strain wMel_I23;955;Complete;wMel_I23;Fruit fly, Drosophila melanogaster;CI;R;2019-08-12T00:00:00Z;PRJNA557362;SAMN12414621;GCA_007972595.1;CP042444;University of Georgia;1;1269137;35,235203;1450;Assemble the genomes of Wolbachia variants infecting Drosophila melanogaster lines from geographically distinct populations.;sample_type:Whole organism;99,9;99,8;;Good;2019-10-01T16:12:19.306Z;2019-10-01T16:12:19.306Z;;;
GCA_007972745;GCA_007972745.1_ASM797274v1_genomic;955,35;Wolbachia pipientis strain wMel_ZH26;955;Complete;wMel_ZH26;Fruit fly, Drosophila melanogaster;CI;R;2019-08-12T00:00:00Z;PRJNA557362;SAMN12414613;GCA_007972745.1;CP042445;University of Georgia;1;1267436;35,23302;1434;Assemble the genomes of Wolbachia variants infecting Drosophila melanogaster lines from geographically distinct populations.;sample_type:Whole organism;99,9;99,8;;Good;2019-10-01T16:12:20.540Z;2019-10-01T16:12:20.540Z;;;
GCA_008033215;GCA_008033215.1_ASM803321v1_genomic;307502,12;Wolbachia endosymbiont of Drosophila ananassae strain W2.1;307502;Complete;W2.1;Drosophila ananassae Florida (14024_0371.12);CI;R;2019-08-20T00:00:00Z;PRJNA393867;SAMN10261083;GCA_008033215.1;CP042904;University of Maryland Baltimore;1;1401460;35,19337;1451;The Wolbachia endosymbiont from three geographically distinct strains of Drosophila ananassae were sequenced. Since the Hawaii strain of D. ananassae is known to have a Wolbachia lateral gene transfer (Hotopp, J. D. et al., 2007), the Wolbachia cells were transfected and cultured in Sua5B cells. The India and Indonesia strains of D. ananassae are not thought to have a Wolbachia lateral gene transfer.;"sample_type:whole organism;biomaterial_provider:Dr. Irene Newton";99,6;99,4;;Good;2019-10-01T20:27:30.919Z;2019-10-01T20:27:30.919Z;;;
GCA_009012935;GCA_009012935.1_ASM901293v1_genomic;2175860,3;Wolbachia endosymbiont of Nasonia oneida strain wOneA1;2175860;WGS;wOneA1;Nasonia oneida;CI;R;2019-10-11T00:00:00Z;PRJNA454452;SAMN09006831;GCA_009012935.1;QESS01000000;Auburn University;47;1293406;35,091507;1358;genome assembly of Wolbachia endosymbiont of Nasonia oneida;sample_type:whole organism;;;;Good;2019-10-27T23:39:08.146Z;2019-10-27T23:39:08.146Z;;;
